Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
PNC,1,4,88.4,4,6.33
PNC,2,0,-46.09,2,35.26
PNC,3,1,16.14,1,8.25
MMC,1,0,-41.04,4,22.11
MMC,2,0,-24.2,0,-14.32
MMC,3,1,67.45,1,11.36
PGR,1,0,-14.64,4,51.9
PGR,2,2,157.59,2,73.39
PGR,3,0,-34.95,1,44.84
AON,1,0,-31.95,4,10.05
AON,2,0,-46.29,2,88.21
AON,3,1,43.87,0,-12.4
MCO,1,0,-2.33,4,17.34
MCO,2,2,2.34,2,5.91
MCO,3,1,37.46,1,75.51
COF,1,4,196.08,0,-6.96
COF,2,0,-69.65,2,59.71
COF,3,0,-234.9,1,7.53
MSCI.N,1,4,22.56,4,19.01
MSCI.N,2,0,-6.55,2,50.36
MSCI.N,3,1,27.35,1,36.29
MET,1,4,830.28,4,24.9
MET,2,0,-98.43,2,15.92
MET,3,1,607.6,1,32.45
TRV,1,4,7387.41,4,7.03
TRV,2,0,-101.66,2,18.58
TRV,3,0,-20.68,0,-24.4
TROW.OQ,1,4,6.72,4,18.61
TROW.OQ,2,2,81.3,2,19.7
TROW.OQ,3,0,-36.98,1,24.52
ALL,1,0,-29.17,4,150.3
ALL,2,2,169.62,0,-32.7
ALL,3,0,-60.19,1,62.85
AIG,1,4,123.9,4,3062.97
AIG,2,0,-197.1,2,713.82
AIG,3,1,113.98,1,102.82
BK,1,0,-2.93,0,-1.63
BK,2,0,-3.64,2,26.13
BK,3,1,30.14,0,-3.09
PRU,1,4,167.75,4,11.04
PRU,2,0,-685.83,0,-17.62
PRU,3,0,-125.18,1,16.24
AFL,1,4,207.65,4,15.18
AFL,2,2,43.76,2,14.54
AFL,3,0,-27.24,1,3.08
WLTW.OQ,1,0,-27.03,4,20.17
WLTW.OQ,2,0,-54.71,2,3.29
WLTW.OQ,3,0,-42.87,1,37.03
DFS,1,4,303.52,4,16.59
DFS,2,0,-376.16,2,31.31
DFS,3,0,-111.17,1,3.03
STT,1,0,-14.67,0,-14.71
STT,2,0,-3.78,2,10.81
STT,3,1,4.14,1,19.07
AJG,1,4,8.62,0,-3.22
AJG,2,0,-51.34,2,15.66
AJG,3,1,10920.62,1,16.72
FRC,1,4,14.85,4,8.12
FRC,2,2,17.22,2,5.55
FRC,3,0,-13.82,1,16.03
AMP,1,0,-22.15,4,12.46
AMP,2,0,-61.95,2,16.9
AMP,3,0,-14.45,1,43.24
MKTX.OQ,1,0,-19.19,4,18.5
MKTX.OQ,2,0,-58.03,2,8.45
MKTX.OQ,3,1,296.73,1,25.64
FITB.OQ,1,4,0.2,4,27.76
FITB.OQ,2,2,8.03,2,49.65
FITB.OQ,3,0,-24.93,0,-17.95
NTRS.OQ,1,0,-9.92,0,-0.78
NTRS.OQ,2,0,-5.91,2,38.44
NTRS.OQ,3,0,-8.78,1,11.63
SIVB.OQ,1,4,76.71,4,20.0
SIVB.OQ,2,0,-8.3,2,82.8
SIVB.OQ,3,1,3.31,1,35.52
SYF,1,4,21.71,4,48.94
SYF,2,0,-50.41,2,42.59
SYF,3,1,27.36,0,-3.23
HIG,1,4,13.75,4,62.97
HIG,2,2,70.9,2,130.84
HIG,3,0,-49.93,0,-35.61
MTB,1,0,-25.28,4,7.99
MTB,2,2,90.71,2,37.52
MTB,3,0,-46.32,1,19.08
KEY,1,4,149.2,0,-5.45
KEY,2,2,35.3,2,35.48
KEY,3,0,-72.87,1,56.4
RF,1,4,323.86,4,10.63
RF,2,0,-253.93,2,31.5
RF,3,0,-60.76,1,14.2
CFG,1,0,-4.67,4,9.94
CFG,2,2,34.96,2,33.09
CFG,3,0,-13.92,1,31.31
NDAQ.OQ,1,4,15.61,4,6.4
NDAQ.OQ,2,2,0.84,2,19.93
NDAQ.OQ,3,1,21.84,0,-5.88
CINF.OQ,1,0,-46.92,4,595.81
CINF.OQ,2,2,177.63,0,-47.34
CINF.OQ,3,0,-290.48,0,-6.66
HBAN.OQ,1,4,0.38,4,6.07
HBAN.OQ,2,2,4.6,2,36.97
HBAN.OQ,3,1,15.31,1,23.52
PFG.OQ,1,0,-41.01,0,-6.41
PFG.OQ,2,2,38.67,0,-10.2
PFG.OQ,3,0,-5.2,1,26.65
RJF,1,4,19.33,4,2.33
RJF,2,0,-0.31,2,11.84
RJF,3,0,-7.58,1,40.3
L,1,4,141.8,4,78.35
L,2,0,-3266.46,0,-29.97
L,3,0,-107.97,1,37.88
CBOE.Z,1,0,-22.98,0,-7.74
CBOE.Z,2,0,-23.08,2,64.74
CBOE.Z,3,1,70.96,1,5.87
WU,1,4,41.95,0,-27.27
WU,2,0,-9.54,2,32.38
WU,3,1,39.36,1,168.35
RE,1,4,38.58,4,992.45
RE,2,2,1298.12,0,-80.27
RE,3,0,-106.7,0,-52.08
WRB,1,4,23.51,4,8.79
WRB,2,2,218.13,2,18.64
WRB,3,0,-66.66,0,-14.27
GL,1,4,9.27,4,12.94
GL,2,2,4.79,2,24.97
GL,3,0,-9.88,1,10.79
LNC,1,4,571.32,0,-41.07
LNC,2,0,-257.52,2,18.52
LNC,3,0,-86.75,1,16.17
AIZ,1,0,-69.54,4,66.42
AIZ,2,2,23.79,0,-35.4
AIZ,3,1,21.93,0,-34.32
CMA,1,0,-83.6,4,6.93
CMA,2,2,405.94,2,50.12
CMA,3,0,-43.56,1,61.08
ZION.OQ,1,4,111.82,4,5.76
ZION.OQ,2,2,1117.21,2,44.89
ZION.OQ,3,0,-96.42,1,41.63
BEN,1,4,2.19,0,-15.47
BEN,2,2,262.98,0,-20.59
BEN,3,0,-75.16,1,7.71
IVZ,1,4,132.31,4,0.3
IVZ,2,0,-29.73,0,-6.79
IVZ,3,0,-43.7,1,26.82
PBCT.OQ,1,4,47.12,4,6.42
PBCT.OQ,2,0,-30.22,2,27.14
PBCT.OQ,3,1,3.71,1,10.47
UNM,1,0,-9.68,4,122.63
UNM,2,2,70.84,0,-42.6
UNM,3,0,-45.81,1,5.52
AIV,1,0,-405.27,0,-111.53
AIV,2,2,28.24,2,88.4
AIV,3,1,245.49,0,-24.89
