Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change
CMI,3,1.0,29.39,1.0,18.77
VRSK.OQ,1,4.0,3.41,0.0,-18.93
VRSK.OQ,2,2.0,4.64,2.0,28.99
VRSK.OQ,3,1.0,34.81,1.0,4.73
INFO.N,1,4.0,9.66,0.0,-7.7
INFO.N,2,2.0,16.14,2.0,9.33
INFO.N,3,0.0,-31.23,1.0,42.6
TDG,1,4.0,581.69,0.0,-33.92
TDG,2,0.0,-94.01,2.0,8.36
TDG,3,1.0,291.96,1.0,55.41
CARRA.MI,1,,,,
CARRA.MI,2,,,,
CARRA.MI,3,,,,
CTAS.OQ,1,4.0,73.58,4.0,3.5
CTAS.OQ,2,0.0,-25.83,2.0,38.45
CTAS.OQ,3,0.0,-52.9,1.0,25.51
PAYX.OQ,1,4.0,15.77,4.0,6.22
PAYX.OQ,2,2.0,6.53,2.0,13.69
PAYX.OQ,3,0.0,-37.69,1.0,10.54
PCAR.OQ,1,4.0,160.4,4.0,10.13
PCAR.OQ,2,0.0,-58.84,2.0,46.62
PCAR.OQ,3,0.0,-32.37,1.0,65.22
SWK,1,4.0,30.54,4.0,7.02
SWK,2,2.0,78.48,0.0,-0.67
SWK,3,0.0,-46.13,1.0,16.66
ROK,1,0.0,-17.71,4.0,50.49
ROK,2,2.0,140.58,0.0,-31.11
ROK,3,0.0,-57.41,1.0,25.82
FAST.OQ,1,0.0,-7.87,4.0,6.56
FAST.OQ,2,2.0,18.27,2.0,34.43
FAST.OQ,3,1.0,13.27,1.0,11.24
LUV,1,0.0,-23.74,0.0,-1.19
LUV,2,0.0,-1426.77,2.0,23.1
LUV,3,0.0,-119.96,1.0,0.36
AME,1,4.0,22.51,4.0,14.05
AME,2,2.0,9.5,2.0,29.4
AME,3,0.0,-31.36,1.0,16.11
ZOT.MC,1,0.0,-43.19,0.0,-3.55
ZOT.MC,2,2.0,100.79,0.0,-3.2
ZOT.MC,3,0.0,-55.5,0.0,-3.57
DAL,1,0.0,-44.69,4.0,28.75
DAL,2,0.0,-830.62,2.0,13.9
DAL,3,0.0,-149.17,0.0,-10.41
CPRT.OQ,1,4.0,20.47,4.0,18.96
CPRT.OQ,2,2.0,12.07,2.0,39.71
CPRT.OQ,3,0.0,-12.62,1.0,1.2
EFX,1,4.0,133.21,0.0,-230.62
EFX,2,0.0,-14.9,0.0,-44.33
EFX,3,1.0,1109.88,1.0,9.04
RSG,1,4.0,29.26,4.0,7.3
RSG,2,2.0,5.4,2.0,32.44
RSG,3,0.0,-20.54,1.0,7.15
ODFL.OQ,1,4.0,37.07,4.0,3.67
ODFL.OQ,2,2.0,6.39,2.0,69.57
ODFL.OQ,3,0.0,-2.38,1.0,22.44
KSU,1,4.0,62.85,4.0,12.81
KSU,2,0.0,-23.91,2.0,11.45
KSU,3,1.0,5.37,1.0,17.81
GWW,1,4.0,22.9,4.0,4.13
GWW,2,0.0,-34.56,2.0,53.09
GWW,3,1.0,132.7,1.0,15.26
DOV,1,4.0,52.19,4.0,23.39
DOV,2,0.0,-23.19,2.0,14.2
DOV,3,0.0,-11.29,1.0,27.19
XYL,1,4.0,98.45,0.0,-39.25
XYL,2,2.0,100.77,2.0,42.33
XYL,3,1.0,124.05,1.0,42.51
IR,1,4.0,161.83,4.0,37.87
IR,2,0.0,-215.32,2.0,79.45
IR,3,0.0,-65.17,1.0,8649.65
URI,1,0.0,-1.12,4.0,9.76
URI,2,2.0,26.36,2.0,63.97
URI,3,0.0,-47.72,1.0,28.46
EXPD.OQ,1,4.0,3.16,0.0,-5.42
EXPD.OQ,2,2.0,52.21,2.0,44.63
EXPD.OQ,3,0.0,-9.87,1.0,5.07
IEX,1,4.0,25.11,4.0,10.32
IEX,2,0.0,-15.24,2.0,22.93
IEX,3,1.0,0.13,1.0,15.1
MAS,1,4.0,32.74,4.0,8.72
MAS,2,2.0,64.17,2.0,58.64
MAS,3,1.0,49.29,0.0,-13.9
J,1,0.0,-69.4,4.0,1.62
J,2,2.0,298.03,2.0,154.41
J,3,0.0,-67.74,1.0,32.62
UAL.OQ,1,0.0,-17.01,4.0,35.85
UAL.OQ,2,0.0,-193.76,2.0,32.99
UAL.OQ,3,0.0,-228.3,0.0,-15.91
WAB,1,4.0,45.84,0.0,-27.7
WAB,2,0.0,-23.72,0.0,-5.11
WAB,3,0.0,-11.85,0.0,-16.71
AVY,1,4.0,42.63,4.0,23.14
AVY,2,0.0,-19.11,2.0,11.97
AVY,3,0.0,-27.21,1.0,33.08
CHRW.OQ,1,0.0,-6.2,0.0,-11.94
CHRW.OQ,2,2.0,84.68,2.0,36.48
CHRW.OQ,3,0.0,-21.13,0.0,-2.92
JBHT.OQ,1,4.0,1.87,4.0,6.82
JBHT.OQ,2,2.0,17.68,0.0,-50.22
JBHT.OQ,3,0.0,-27.15,1.0,135.18
TXT,1,4.0,393.93,4.0,7.97
TXT,2,0.0,-152.93,2.0,40.14
TXT,3,0.0,-70.61,0.0,-29.41
ALLE.N,1,4.0,80.38,4.0,8.94
ALLE.N,2,2.0,34.13,2.0,24.64
ALLE.N,3,0.0,-39.9,1.0,13.87
HWM,1,4.0,447.78,4.0,48.2
HWM,2,0.0,-107.9,2.0,115.85
HWM,3,0.0,-34.57,1.0,128.6
PWR,1,4.0,114.44,4.0,35.28
PWR,2,2.0,99.16,2.0,13.57
PWR,3,0.0,-69.72,1.0,40.18
SNA,1,4.0,66.35,4.0,1.73
SNA,2,0.0,-24.7,2.0,24.92
SNA,3,0.0,-14.13,1.0,4.64
PNR,1,4.0,46.29,4.0,2.41
PNR,2,2.0,4.8,2.0,60.11
PNR,3,0.0,-42.55,1.0,37.62
AAL.OQ,1,0.0,-26.75,4.0,11.45
AAL.OQ,2,0.0,-119.89,0.0,-18.95
AAL.OQ,3,0.0,-357.78,0.0,-3.58
AOS,1,4.0,46.7,0.0,-14.99
AOS,2,2.0,41.44,2.0,20.49
AOS,3,0.0,-42.94,1.0,17.34
RHI,1,4.0,63.63,4.0,8.14
RHI,2,0.0,-48.29,2.0,35.42
RHI,3,0.0,-19.63,0.0,-0.04
HII,1,4.0,328.13,0.0,-27.57
HII,2,0.0,-69.19,2.0,82.5
HII,3,1.0,0.48,0.0,-13.85
NLSN.N,1,0.0,-11.63,4.0,196.93
NLSN.N,2,2.0,197.03,0.0,-82.04
NLSN.N,3,1.0,133.65,1.0,5.28
ALK,1,0.0,-31.8,4.0,35.3
ALK,2,0.0,-2036.1,0.0,-23.88
ALK,3,0.0,-114.77,0.0,-7.96
FLS,1,4.0,3.71,4.0,63.01
FLS,2,2.0,475.96,2.0,257.42
FLS,3,0.0,-87.59,0.0,-64.51
