Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Quarterly Diluted Normalized EPS Sign,Quarterly Revenue Score,Quarterly Revenue % Change,Quarterly Revenue Sign,Quarterly Gross Profit Score,Quarterly Gross Profit % Change,Quarterly Gross Profit Sign,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Sign,Annual Revenue Score,Annual Revenue % Change,Annual Revenue Sign,Annual Gross Profit Score,Annual Gross Profit % Change,Annual Gross Profit Sign
CXO,2,2,83.03,N,0,-48.59,P,0,-54.22,P,2,768.64,P,2,60.52,P,2,63.5,P
CXO,3,0,-1089.73,N,0,-26.0,P,0,-29.94,P,1,129.64,P,1,58.17,P,1,65.63,P
FANG.OQ,1,4,77.25,N,4,69.41,P,4,117.24,P,0,-28.71,P,4,82.15,P,4,75.05,P
FANG.OQ,2,0,-462.64,N,0,-52.73,P,0,-63.86,P,2,48.4,P,2,80.59,P,2,77.28,P
FANG.OQ,3,1,232.82,P,0,-18.57,P,0,-24.02,P,1,2525.91,P,1,128.63,P,1,146.31,P
COG,1,0,-149.35,N,0,-12.43,P,0,-31.06,P,4,31.34,P,0,-5.57,P,0,-1.6,P
COG,2,0,-43.45,P,0,-14.0,P,0,-20.46,P,2,224.81,P,2,24.03,P,2,23.37,P
COG,3,0,-63.19,P,0,-16.24,P,0,-22.12,P,1,235.3,P,1,52.66,P,1,91.76,P
DVN,1,4,87.3,N,4,170.81,P,4,507.63,P,0,-109.62,N,0,-30.08,P,0,-35.13,P
DVN,2,0,-1760.1,N,0,-81.12,P,0,-92.59,P,2,344.63,P,2,36.84,P,2,35.6,P
DVN,3,1,218.55,P,1,70.51,P,1,56.41,P,1,67.46,N,0,-36.91,P,0,-32.83,P
APA.N,1,4,103.25,P,4,48.94,P,4,77.83,P,0,-254.74,N,0,-14.06,P,0,-17.62,P
APA.N,2,2,71.96,N,0,-44.05,P,0,-52.11,P,0,-24.44,P,2,24.82,P,2,31.69,P
APA.N,3,0,-80.81,N,0,-17.29,P,0,-28.0,P,1,257.93,P,1,9.69,P,1,15.85,P
MRO,1,4,57.66,N,4,174.82,P,4,330.34,P,0,-46.48,P,0,-17.93,P,0,-18.32,P
MRO,2,0,-6816.17,N,0,-77.56,P,0,-86.33,P,2,226.52,P,2,33.06,P,2,41.8,P
MRO,3,1,179.84,P,1,0.0,P,1,0.86,P,1,69.76,N,1,38.52,P,1,56.62,P
NOV,1,0,-130.0,N,0,-7.49,P,4,1.46,P,0,-12740.92,N,4,0.31,P,0,-41.48,P
NOV,2,2,92.6,N,0,-20.55,P,0,-38.84,P,2,96.39,N,2,15.73,P,2,61.88,P
NOV,3,0,-1152.05,N,0,-17.45,P,0,-40.43,P,1,73.16,N,1,0.73,P,1,983.17,P
FTI,1,0,-27.15,P,4,5.61,P,0,-11.09,P,0,-7.12,N,4,6.82,P,4,7.72,P
FTI,2,2,106.63,P,2,0.9,P,2,20.29,P,0,-267.39,N,0,-16.63,P,0,-10.14,P
FTI,3,0,-33.35,N,0,-16.01,P,0,-33.52,P,0,-83.46,P,1,63.67,P,1,61.32,P
HFC,1,0,-164.47,N,4,36.67,P,0,-33.19,P,0,-14.02,P,0,-1.29,P,4,1.32,P
HFC,2,2,129.64,P,0,-39.34,P,2,336.21,P,2,122.36,P,2,24.3,P,2,26.91,P
HFC,3,0,-575.7,N,0,-22.4,P,0,-77.55,P,1,187.58,P,1,35.27,P,1,40.14,P
