,Stock,Fiscal Period,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %
41,PXD,2.0,0,-127.83,,,0.0,-43.23,2.0,77.16,0.0,-50.12,2.0,58.63
42,PXD,3.0,0,-51.27,,,0.0,-23.89,1.0,50.87,0.0,-29.67,1.0,63.34
43,PXD-Total,,0,,,,4.0,,7.0,,4.0,,3.0,
44,OKE,1.0,4,118.75,,,4.0,30.92,0.0,-19.29,4.0,26.15,4.0,6.49
45,OKE,2.0,0,-61.45,,,0.0,-22.27,2.0,3.44,0.0,-16.22,2.0,20.28
46,OKE,3.0,1,7.79,,,0.0,-19.78,1.0,36.46,0.0,-1.44,1.0,8.7
47,OKE-Total,,5,,,,4.0,,3.0,,4.0,,7.0,
48,HAL,1.0,4,120.0,,,0.0,-6.91,0.0,-6.61,4.0,13.26,0.0,-23.48
49,HAL,2.0,0,-83.87,,,0.0,-36.55,2.0,16.37,0.0,-49.82,2.0,31.14
50,HAL,3.0,0,-3.12,,,0.0,-2.97,1.0,29.79,0.0,-8.1,1.0,161.72
51,HAL-Total,,4,,,,0.0,,3.0,,4.0,,3.0,
52,OXY,1.0,0,-52.27,,,4.0,31.2,4.0,14.41,4.0,64.48,4.0,7.11
53,OXY,2.0,2,238.46,,,0.0,-51.15,2.0,42.5,0.0,-65.48,2.0,62.8
54,OXY,3.0,1,73.33,,,1.0,4.91,1.0,23.96,1.0,3.37,1.0,41.07
55,OXY-Total,,3,,,,5.0,,7.0,,5.0,,7.0,
56,HES,1.0,0,-32.38,,,4.0,39.14,4.0,2.72,4.0,57.88,4.0,1.33
57,HES,2.0,2,75.0,,,0.0,-38.48,2.0,15.68,0.0,-48.72,2.0,28.98
58,HES,3.0,1,0.0,,,0.0,-19.55,1.0,14.78,0.0,-20.26,1.0,39.4
59,HES-Total,,3,,,,4.0,,7.0,,4.0,,7.0,
60,BKR,1.0,0,-180.0,,,4.0,6.65,4.0,4.2,4.0,11.65,4.0,11.19
61,BKR,2.0,0,-145.45,,,0.0,-12.72,2.0,33.17,0.0,-10.2,2.0,31.29
62,BKR,3.0,0,-59.26,,,0.0,-14.54,1.0,31.32,0.0,-41.65,1.0,3.55
63,BKR-Total,,0,,,,4.0,,7.0,,4.0,,7.0,
64,CXO,1.0,4,26.55,,,4.0,75.95,4.0,10.62,4.0,121.38,4.0,7.27
65,CXO,2.0,2,56.94,,,0.0,-48.59,2.0,60.52,0.0,-57.06,2.0,60.97
66,CXO,3.0,0,-30.1,,,0.0,-26.0,1.0,58.17,0.0,-31.92,1.0,65.63
67,CXO-Total,,6,,,,4.0,,7.0,,4.0,,7.0,
68,FANG,1.0,4,313.33,,,4.0,69.41,4.0,82.17,4.0,120.08,4.0,75.92
69,FANG,2.0,0,-89.66,,,0.0,-52.73,2.0,80.58,0.0,-64.38,2.0,77.54
70,FANG,3.0,0,-24.87,,,0.0,-18.57,1.0,128.61,0.0,-21.91,1.0,143.61
71,FANG-Total,,4,,,,4.0,,7.0,,4.0,,7.0,
72,COG,1.0,4,133.33,,,,,,,,,,
73,COG,2.0,0,-70.0,,,,,,,,,,
74,COG,3.0,0,-64.29,,,,,,,,,,
75,COG-Total,,4,,,,,,,,,,,
76,DVN,1.0,0,-77.78,,,4.0,170.81,0.0,-30.08,4.0,507.63,0.0,-35.13
77,DVN,2.0,0,-238.46,,,0.0,-81.12,2.0,36.84,0.0,-92.59,2.0,35.6
78,DVN,3.0,0,-60.61,,,1.0,31.34,0.0,-36.91,1.0,39.84,0.0,-32.83
79,DVN-Total,,0,,,,5.0,,2.0,,5.0,,2.0,
80,APA,1.0,0,-78.38,,,4.0,48.94,0.0,-14.06,4.0,95.41,0.0,-17.96
81,APA,2.0,2,469.23,,,0.0,-44.05,2.0,24.82,0.0,-56.57,2.0,29.09
82,APA,3.0,0,-262.5,,,0.0,-13.46,1.0,9.69,0.0,-28.64,1.0,17.29
83,APA-Total,,2,,,,4.0,,3.0,,4.0,,3.0,
84,MRO,1.0,0,-53.33,,,4.0,55.31,0.0,-14.22,4.0,75.07,0.0,-14.01
85,MRO,2.0,2,275.0,,,0.0,-52.15,2.0,33.86,0.0,-58.22,2.0,37.02
86,MRO,3.0,0,-328.57,,,0.0,-16.95,1.0,36.25,0.0,-18.8,1.0,46.78
87,MRO-Total,,2,,,,4.0,,3.0,,4.0,,3.0,
88,NOV,1.0,0,-85.71,,,0.0,-7.49,4.0,0.31,4.0,1.46,0.0,-41.48
89,NOV,2.0,0,-150.0,,,0.0,-20.55,2.0,15.73,0.0,-38.84,2.0,61.88
90,NOV,3.0,1,7.69,,,0.0,-17.45,1.0,0.73,0.0,-40.43,1.0,783.17
91,NOV-Total,,1,,,,0.0,,7.0,,4.0,,3.0,
92,FTI,1.0,4,77.78,,,4.0,5.61,4.0,6.82,0.0,-11.09,4.0,7.83
93,FTI,2.0,0,-181.82,,,2.0,0.9,0.0,-16.63,2.0,20.74,0.0,-9.97
94,FTI,3.0,0,-466.67,,,0.0,-16.01,1.0,63.67,0.0,-35.02,1.0,61.33
95,FTI-Total,,4,,,,6.0,,5.0,,2.0,,5.0,
96,HFC,1.0,4,64.0,,,,,,,,,,
97,HFC,2.0,0,-147.17,,,,,,,,,,
98,HFC,3.0,1,10.42,,,,,,,,,,
99,HFC-Total,,5,,,,,,,,,,,
