,Stock,Fiscal Period,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %
58,APTV,3.0,0.0,-40.87,,,0.0,-10.29,1.0,4.97,0.0,-27.07,0.0,-4.84
59,APTV-Total,,0.0,,,,4.0,,3.0,,4.0,,2.0,
60,ORLY,1.0,0.0,-0.42,,,4.0,3.75,4.0,6.43,4.0,2.64,4.0,7.04
61,ORLY,2.0,2.0,78.84,,,2.0,24.84,2.0,6.22,2.0,26.33,2.0,6.76
62,ORLY,3.0,0.0,-6.59,,,0.0,-0.26,1.0,4.48,0.0,-2.17,1.0,4.69
63,ORLY-Total,,2.0,,,,6.0,,7.0,,6.0,,7.0,
64,YUM,1.0,4.0,23.17,,,4.0,20.87,0.0,-1.6,4.0,24.94,0.0,-5.66
65,YUM,2.0,2.0,28.13,,,0.0,-5.15,0.0,-3.23,2.0,0.34,0.0,-23.91
66,YUM,3.0,0.0,-36.0,,,0.0,-25.44,0.0,-7.52,0.0,-26.09,0.0,-8.35
67,YUM-Total,,6.0,,,,4.0,,0.0,,6.0,,0.0,
68,BLL,1.0,4.0,36.92,,,,,,,,,,
69,BLL,2.0,2.0,6.56,,,,,,,,,,
70,BLL,3.0,0.0,-14.08,,,,,,,,,,
71,BLL-Total,,6.0,,,,,,,,,,,
72,HLT,1.0,0.0,-109.84,,,4.0,65.43,4.0,6.13,4.0,68.23,4.0,8.24
73,HLT,2.0,0.0,-182.43,,,0.0,-70.62,2.0,9.53,0.0,-72.1,2.0,10.38
74,HLT,3.0,0.0,-26.0,,,0.0,-18.95,1.0,23.65,0.0,-18.28,1.0,29.55
75,HLT-Total,,0.0,,,,4.0,,7.0,,4.0,,7.0,
76,VFC,1.0,0.0,-217.54,,,4.0,142.34,4.0,2.16,4.0,132.89,4.0,3.34
77,VFC,2.0,0.0,-670.0,,,0.0,-25.21,2.0,27.13,0.0,-35.48,2.0,25.75
78,VFC,3.0,0.0,-91.87,,,0.0,-62.32,0.0,-3.8,0.0,-56.7,0.0,-1.84
79,VFC-Total,,0.0,,,,4.0,,6.0,,4.0,,6.0,
80,AZO,1.0,0.0,-39.83,,,,,,,,,,
81,AZO,2.0,2.0,114.94,,,,,,,,,,
82,AZO,3.0,1.0,16.14,,,,,,,,,,
83,AZO-Total,,3.0,,,,,,,,,,,
84,DHI,1.0,4.0,30.23,,,4.0,18.74,4.0,15.45,4.0,26.15,4.0,27.53
85,DHI,2.0,2.0,32.31,,,2.0,19.78,2.0,9.49,2.0,24.42,2.0,5.51
86,DHI,3.0,1.0,31.31,,,1.0,11.92,1.0,14.03,1.0,12.03,1.0,20.4
87,DHI-Total,,7.0,,,,7.0,,7.0,,7.0,,7.0,
88,BBY,1.0,4.0,20.47,,,4.0,1.77,4.0,1.77,4.0,23.13,4.0,0.87
89,BBY,2.0,2.0,155.22,,,2.0,1.73,2.0,1.73,2.0,15.52,2.0,0.86
90,BBY,3.0,0.0,-76.9,,,1.0,6.97,1.0,6.97,0.0,-39.26,1.0,4.62
91,BBY-Total,,6.0,,,,7.0,,7.0,,6.0,,7.0,
92,ETSY,1.0,0.0,-6.67,,,4.0,35.56,4.0,35.56,4.0,4.4,4.0,32.55
93,ETSY,2.0,2.0,650.0,,,2.0,36.82,2.0,36.82,2.0,117.91,2.0,42.27
94,ETSY,3.0,0.0,-60.0,,,1.0,20.9,1.0,20.9,0.0,-18.72,1.0,20.12
95,ETSY-Total,,2.0,,,,7.0,,7.0,,6.0,,7.0,
96,LEN,1.0,4.0,33.02,,,4.0,11.02,4.0,8.21,4.0,26.79,4.0,18.53
97,LEN,2.0,2.0,41.33,,,2.0,17.36,2.0,62.67,2.0,31.62,2.0,30.52
98,LEN,3.0,1.0,18.11,,,0.0,-35.38,1.0,15.49,0.0,-43.23,1.0,8.89
99,LEN-Total,,7.0,,,,6.0,,7.0,,6.0,,7.0,
100,IP,1.0,0.0,-7.79,,,4.0,5.28,0.0,-3.99,4.0,9.94,0.0,-8.3
101,IP,2.0,2.0,35.09,,,0.0,-9.08,2.0,7.19,0.0,-10.4,2.0,11.67
102,IP,3.0,0.0,-47.71,,,0.0,-2.66,1.0,11.53,0.0,-12.34,1.0,14.24
103,IP-Total,,2.0,,,,4.0,,3.0,,4.0,,3.0,
104,LVS,1.0,0.0,-36.19,,,4.0,497.96,4.0,0.07,0.0,-69.71,4.0,2.25
105,LVS,2.0,2.0,3400.0,,,0.0,-94.5,2.0,7.86,0.0,-64.46,2.0,5.56
106,LVS,3.0,0.0,-103.41,,,0.0,-49.22,1.0,12.93,0.0,-56.98,1.0,14.57
107,LVS-Total,,2.0,,,,4.0,,7.0,,0.0,,7.0,
108,AMCR,1.0,,,,,0.0,-1.45,,,0.0,-9.1,,
109,AMCR,2.0,,,,,2.0,0.05,,,2.0,10.35,,
110,AMCR,3.0,,,,,1.0,3.23,,,1.0,5.67,,
111,AMCR-Total,,,,,,3.0,,,,3.0,,,
112,TSCO,1.0,0.0,-44.14,,,,,,,,,,
113,TSCO,2.0,2.0,308.45,,,,,,,,,,
114,TSCO,3.0,0.0,-41.32,,,,,,,,,,
115,TSCO-Total,,2.0,,,,,,,,,,,
116,EXPE,1.0,0.0,-88.91,,,4.0,7.52,4.0,7.52,4.0,537.85,4.0,6.98
117,EXPE,2.0,2.0,104.63,,,2.0,11.56,2.0,11.56,0.0,-88.8,2.0,11.5
118,EXPE,3.0,0.0,-342.7,,,1.0,14.66,1.0,14.66,0.0,-25.54,1.0,15.69
119,EXPE-Total,,2.0,,,,7.0,,7.0,,4.0,,7.0,
120,KMX,1.0,0.0,-20.67,,,4.0,66.38,4.0,11.81,4.0,112.36,4.0,9.75
121,KMX,2.0,2.0,678.26,,,0.0,-34.94,2.0,6.15,0.0,-47.36,2.0,6.52
122,KMX,3.0,0.0,-82.31,,,1.0,3.6,1.0,7.84,1.0,9.65,1.0,6.67
123,KMX-Total,,2.0,,,,5.0,,7.0,,5.0,,7.0,
124,DRI,1.0,4.0,32.14,,,4.0,20.26,0.0,-8.27,4.0,2769.52,0.0,-23.83
125,DRI,2.0,0.0,-145.16,,,0.0,-45.87,2.0,5.33,0.0,-98.05,2.0,5.94
126,DRI,3.0,0.0,-165.26,,,1.0,14.11,1.0,12.69,1.0,32.68,1.0,11.21
127,DRI-Total,,4.0,,,,5.0,,3.0,,5.0,,3.0,
128,ULTA,1.0,4.0,124.66,,,4.0,26.39,4.0,10.15,4.0,65.81,4.0,11.28
129,ULTA,2.0,0.0,-165.18,,,2.0,4.67,2.0,14.14,2.0,8.37,2.0,14.9
130,ULTA,3.0,0.0,-129.24,,,0.0,-49.12,1.0,21.21,0.0,-62.37,1.0,20.01
131,ULTA-Total,,4.0,,,,6.0,,7.0,,6.0,,7.0,
132,DPZ,1.0,0.0,-16.72,,,,,,,,,,
133,DPZ,2.0,0.0,-2.61,,,,,,,,,,
134,DPZ,3.0,0.0,-1.92,,,,,,,,,,
135,DPZ-Total,,0.0,,,,,,,,,,,
136,NVR,1.0,4.0,53.2,,,4.0,22.75,4.0,3.32,4.0,34.79,4.0,5.41
137,NVR,2.0,0.0,-5.47,,,2.0,2.2,2.0,13.67,2.0,15.41,2.0,12.21
138,NVR,3.0,0.0,-30.2,,,0.0,-20.48,1.0,8.36,0.0,-31.72,1.0,18.3
139,NVR-Total,,4.0,,,,6.0,,7.0,,6.0,,7.0,
140,POOL,1.0,0.0,-29.97,,,0.0,-11.06,4.0,6.72,0.0,-11.99,4.0,6.29
141,POOL,2.0,2.0,445.07,,,2.0,89.11,2.0,7.53,2.0,96.95,2.0,8.06
142,POOL,3.0,1.0,61.36,,,1.0,16.33,1.0,8.46,1.0,17.02,1.0,8.66
143,POOL-Total,,3.0,,,,3.0,,7.0,,3.0,,7.0,
144,Gpc,1.0,4.0,23.48,,,4.0,3.51,4.0,3.51,4.0,29.73,4.0,5.56
145,Gpc,2.0,2.0,43.48,,,2.0,14.88,2.0,14.88,0.0,-21.52,2.0,21.96
146,Gpc,3.0,0.0,-31.85,,,1.0,6.32,1.0,6.32,0.0,-22.46,1.0,6.67
147,Gpc-Total,,6.0,,,,7.0,,7.0,,4.0,,7.0,
148,TIF,1.0,4.0,246.88,,,4.0,34.95,0.0,-0.41,4.0,39.41,0.0,-1.75
149,TIF,2.0,0.0,-160.38,,,2.0,34.49,2.0,6.53,2.0,49.39,2.0,7.67
150,TIF,3.0,0.0,-129.44,,,0.0,-59.09,1.0,4.2,0.0,-64.04,1.0,4.47
151,TIF-Total,,4.0,,,,6.0,,3.0,,6.0,,3.0,
152,RCL,1.0,0.0,-8.32,,,0.0,-91.36,4.0,15.34,0.0,-3.28,4.0,15.51
153,RCL,2.0,2.0,314.19,,,0.0,-19.25,2.0,8.16,0.0,-49.62,2.0,9.03
154,RCL,3.0,0.0,-204.23,,,0.0,-21.01,1.0,3.31,0.0,-33.76,1.0,11.5
155,RCL-Total,,2.0,,,,0.0,,7.0,,0.0,,7.0,
156,PKG,1.0,4.0,13.77,,,4.0,9.87,0.0,-0.72,4.0,6.05,0.0,-0.08
157,PKG,2.0,0.0,-8.0,,,0.0,-9.78,2.0,8.84,0.0,-10.77,2.0,11.86
158,PKG,3.0,0.0,-12.28,,,0.0,-0.66,1.0,11.52,0.0,-4.77,1.0,15.26
159,PKG-Total,,4.0,,,,4.0,,3.0,,4.0,,3.0,
160,MGM,1.0,0.0,-28.95,,,4.0,9.66,4.0,9.66,4.0,368.78,4.0,9.33
161,MGM,2.0,2.0,237.78,,,2.0,8.94,2.0,8.94,0.0,-89.62,2.0,5.21
162,MGM,3.0,0.0,-662.5,,,1.0,13.92,1.0,13.92,0.0,-36.63,1.0,16.36
163,MGM-Total,,2.0,,,,7.0,,7.0,,4.0,,7.0,
164,FBHS,1.0,4.0,26.6,,,4.0,20.08,4.0,5.1,4.0,20.23,4.0,4.75
165,FBHS,2.0,2.0,16.05,,,0.0,-1.92,2.0,3.82,0.0,-2.09,2.0,1.79
166,FBHS,3.0,0.0,-19.0,,,0.0,-4.61,1.0,5.99,0.0,-7.26,1.0,7.18
167,FBHS-Total,,6.0,,,,4.0,,7.0,,4.0,,7.0,
168,PHM,1.0,4.0,16.52,,,4.0,13.92,4.0,0.24,4.0,15.29,4.0,1.01
169,PHM,2.0,2.0,55.41,,,2.0,13.02,2.0,18.78,2.0,19.81,2.0,27.41
170,PHM,3.0,0.0,-35.09,,,0.0,-23.93,1.0,11.74,0.0,-21.56,0.0,-4.37
171,PHM-Total,,6.0,,,,6.0,,7.0,,6.0,,6.0,
172,WHR,1.0,4.0,221.4,,,4.0,30.9,0.0,-2.94,4.0,83.04,0.0,-0.11
173,WHR,2.0,0.0,-23.76,,,0.0,-6.54,0.0,-1.02,0.0,-9.86,0.0,-1.8
174,WHR,3.0,0.0,-42.57,,,0.0,-19.64,1.0,2.58,0.0,-33.21,0.0,-2.44
175,WHR-Total,,4.0,,,,4.0,,1.0,,4.0,,0.0,
176,HAS,1.0,4.0,9300.0,,,4.0,106.52,4.0,3.07,4.0,92.17,4.0,6.72
177,HAS,2.0,0.0,-96.49,,,0.0,-22.19,0.0,-12.1,0.0,-27.98,0.0,-14.08
178,HAS,3.0,0.0,-54.03,,,0.0,-22.58,1.0,3.78,0.0,-0.95,1.0,1.98
179,HAS-Total,,4.0,,,,4.0,,5.0,,4.0,,5.0,
180,WRK,1.0,0.0,-3.95,,,4.0,5.55,0.0,-3.88,4.0,5.64,0.0,-14.72
181,WRK,2.0,2.0,13.43,,,0.0,-4.74,2.0,12.31,0.0,-4.32,2.0,11.51
182,WRK,3.0,1.0,15.52,,,1.0,0.53,1.0,9.59,0.0,-0.52,1.0,23.68
183,WRK-Total,,3.0,,,,5.0,,3.0,,4.0,,3.0,
184,CCL,1.0,0.0,-33.64,,,0.0,-95.68,4.0,10.3,0.0,-13.02,4.0,1.59
185,CCL,2.0,0.0,-1600.0,,,0.0,-84.55,2.0,7.83,2.0,37.76,2.0,11.17
186,CCL,3.0,0.0,-64.52,,,1.0,0.15,1.0,6.84,0.0,-25.79,1.0,0.04
187,CCL-Total,,0.0,,,,1.0,,7.0,,2.0,,7.0,
188,AAP,1.0,0.0,-3.77,,,4.0,1.34,4.0,1.34,4.0,2.9,4.0,0.84
189,AAP,2.0,2.0,220.88,,,2.0,2.21,2.0,2.21,0.0,-6.48,2.0,3.29
190,AAP,3.0,0.0,-44.51,,,0.0,-2.03,0.0,-2.03,1.0,26.27,0.0,-4.01
191,AAP-Total,,2.0,,,,6.0,,6.0,,5.0,,6.0,
192,WYNN,1.0,4.0,14.66,,,0.0,-1.59,0.0,-1.59,0.0,-45.82,0.0,-3.32
193,WYNN,2.0,2.0,73.45,,,2.0,10.67,2.0,10.67,0.0,-28.46,2.0,12.31
194,WYNN,3.0,1.0,470.97,,,1.0,39.68,1.0,39.68,0.0,-66.57,1.0,38.45
195,WYNN-Total,,7.0,,,,3.0,,3.0,,0.0,,3.0,
196,LKQ,1.0,4.0,41.51,,,4.0,16.04,4.0,5.3,4.0,18.55,4.0,6.05
197,LKQ,2.0,0.0,-7.02,,,0.0,-12.48,2.0,21.98,0.0,-16.71,2.0,20.4
198,LKQ,3.0,1.0,5.56,,,0.0,-0.3,1.0,13.43,1.0,1.49,1.0,13.36
199,LKQ-Total,,5.0,,,,4.0,,7.0,,5.0,,7.0,
200,BWA,1.0,0.0,-728.57,,,4.0,77.7,0.0,-3.44,4.0,197.13,0.0,-5.78
201,BWA,2.0,0.0,-118.18,,,0.0,-37.43,2.0,7.46,0.0,-61.07,2.0,5.44
202,BWA,3.0,0.0,-34.19,,,0.0,-10.94,1.0,8.03,0.0,-17.98,1.0,9.66
203,BWA-Total,,0.0,,,,4.0,,3.0,,4.0,,3.0,
204,LB,1.0,4.0,352.0,,,,,,,,,,
205,LB,2.0,0.0,-125.25,,,,,,,,,,
206,LB,3.0,0.0,-152.66,,,,,,,,,,
207,LB-Total,,4.0,,,,,,,,,,,
208,ROL,1.0,4.0,13.33,,,,,,,,,,
209,ROL,2.0,2.0,66.67,,,,,,,,,,
210,ROL,3.0,0.0,-18.18,,,,,,,,,,
211,ROL-Total,,6.0,,,,,,,,,,,
212,TPR,1.0,0.0,-332.0,,,4.0,63.99,0.0,-17.68,4.0,66.41,0.0,-20.09
213,TPR,2.0,0.0,-7.41,,,0.0,-33.36,2.0,2.5,0.0,-19.04,2.0,5.33
214,TPR,3.0,0.0,-124.55,,,0.0,-40.93,1.0,31.01,0.0,-49.06,1.0,24.91
215,TPR-Total,,0.0,,,,4.0,,3.0,,4.0,,3.0,
216,MHK,1.0,4.0,781.08,,,,,,,,,,
217,MHK,2.0,0.0,-77.71,,,,,,,,,,
218,MHK,3.0,0.0,-26.22,,,,,,,,,,
219,MHK-Total,,4.0,,,,,,,,,,,
220,NCLH,1.0,0.0,-15.47,,,0.0,-61.5,4.0,6.73,0.0,-35.5,4.0,4.52
221,NCLH,2.0,2.0,180.81,,,0.0,-98.64,2.0,12.21,2.0,12.71,2.0,14.81
222,NCLH,3.0,0.0,-235.62,,,0.0,-15.79,1.0,10.71,0.0,-57.41,1.0,15.24
223,NCLH-Total,,2.0,,,,0.0,,7.0,,2.0,,7.0,
224,SEE,1.0,4.0,7.89,,,4.0,7.47,4.0,1.23,4.0,3.74,4.0,4.17
225,SEE,2.0,2.0,4.11,,,0.0,-1.93,2.0,6.08,0.0,-0.15,2.0,6.37
226,SEE,3.0,0.0,-6.41,,,0.0,-9.62,1.0,5.94,0.0,-9.04,1.0,0.79
227,SEE-Total,,6.0,,,,4.0,,7.0,,4.0,,7.0,
228,PVH,1.0,4.0,915.38,,,,,,,,,,
229,PVH,2.0,0.0,-104.29,,,,,,,,,,
230,PVH,3.0,0.0,-261.17,,,,,,,,,,
231,PVH-Total,,4.0,,,,,,,,,,,
232,LEG,1.0,4.0,400.0,,,4.0,42.89,4.0,11.31,4.0,82.37,4.0,18.22
233,LEG,2.0,0.0,-60.98,,,0.0,-19.17,2.0,8.26,0.0,-34.34,2.0,0.71
234,LEG,3.0,0.0,-39.71,,,0.0,-8.68,1.0,5.17,0.0,-18.21,0.0,-2.14
235,LEG-Total,,4.0,,,,4.0,,7.0,,4.0,,6.0,
236,RL,1.0,0.0,-179.12,,,,,,,,,,
237,RL,2.0,2.0,167.65,,,,,,,,,,
238,RL,3.0,0.0,-123.78,,,,,,,,,,
239,RL-Total,,2.0,,,,,,,,,,,
240,HBI,1.0,0.0,-30.0,,,4.0,4.0,4.0,2.4,0.0,-2.57,4.0,2.49
241,HBI,2.0,2.0,1100.0,,,2.0,32.08,2.0,5.14,2.0,33.62,2.0,6.58
242,HBI,3.0,0.0,-90.2,,,0.0,-24.82,1.0,7.35,0.0,-32.97,1.0,9.38
243,HBI-Total,,2.0,,,,6.0,,7.0,,2.0,,7.0,
244,GPS,1.0,0.0,-600.0,,,4.0,21.95,0.0,-1.19,4.0,40.99,0.0,-2.99
245,GPS,2.0,0.0,-98.01,,,2.0,55.43,2.0,4.57,2.0,328.73,2.0,4.22
246,GPS,3.0,0.0,-532.76,,,0.0,-54.92,1.0,2.18,0.0,-83.99,1.0,7.55
247,GPS-Total,,0.0,,,,6.0,,3.0,,6.0,,3.0,
248,UAA,1.0,0.0,-183.87,,,4.0,102.51,4.0,1.42,4.0,96.56,4.0,5.56
249,UAA,2.0,0.0,-8.82,,,0.0,-23.93,2.0,4.09,0.0,-18.98,2.0,3.96
250,UAA,3.0,0.0,-440.0,,,0.0,-35.45,1.0,3.23,0.0,-36.76,1.0,0.12
251,UAA-Total,,0.0,,,,4.0,,7.0,,4.0,,7.0,
252,UA,1.0,,,,,4.0,102.51,4.0,1.42,4.0,96.56,4.0,5.56
253,UA,2.0,,,,,0.0,-23.93,2.0,4.09,0.0,-18.98,2.0,3.96
254,UA,3.0,,,,,0.0,-35.45,1.0,3.23,0.0,-36.76,1.0,0.12
255,UA-Total,,,,,,4.0,,7.0,,4.0,,7.0,
