,Stock,Fiscal Period,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %
39,TMUS-Total,,5.0,,,,6.0,,7.0,,7.0,,7.0,
40,ATVI,1.0,0.0,-29.03,,,4.0,1.24,0.0,-13.48,4.0,1.5,0.0,-11.8
41,ATVI,2.0,2.0,72.22,,,2.0,8.0,2.0,6.88,2.0,14.03,2.0,10.34
42,ATVI,3.0,0.0,-54.62,,,0.0,-9.97,1.0,6.19,0.0,-3.46,1.0,7.17
43,ATVI-Total,,2.0,,,,6.0,,3.0,,6.0,,3.0,
44,EA,1.0,0.0,-102.8,,,,,,,,,,
45,EA,2.0,0.0,-1.83,,,,,,,,,,
46,EA,3.0,0.0,-56.75,,,,,,,,,,
47,EA-Total,,0.0,,,,,,,,,,,
48,TTWO,1.0,0.0,-23.32,,,4.0,1.18,4.0,15.76,4.0,15.23,4.0,35.1
49,TTWO,2.0,2.0,108.41,,,2.0,9.31,2.0,48.83,0.0,-2.82,2.0,27.96
50,TTWO,3.0,0.0,-13.01,,,0.0,-18.23,1.0,0.74,0.0,-25.99,1.0,18.21
51,TTWO-Total,,2.0,,,,6.0,,7.0,,4.0,,7.0,
52,VIAC,1.0,,,,,0.0,-2.53,4.0,2.06,0.0,-2.53,4.0,2.06
53,VIAC,2.0,,,,,0.0,-5.91,2.0,2.69,0.0,-5.91,2.0,2.69
54,VIAC,3.0,,,,,0.0,-2.94,1.0,101.54,0.0,-2.94,1.0,101.54
55,VIAC-Total,,,,,,0.0,,7.0,,0.0,,7.0,
56,OMC,1.0,4.0,31.52,,,4.0,14.49,0.0,-2.2,4.0,220.48,0.0,-3.27
57,OMC,2.0,0.0,-22.69,,,0.0,-17.79,2.0,0.11,0.0,-64.24,2.0,1.69
58,OMC,3.0,0.0,-37.04,,,0.0,-17.73,0.0,-0.93,0.0,-29.51,1.0,1.38
59,OMC-Total,,4.0,,,,4.0,,2.0,,4.0,,3.0,
60,LYV,1.0,0.0,-8.24,,,4.0,148.39,4.0,7.05,0.0,-55.78,4.0,9.25
61,LYV,2.0,2.0,184.04,,,0.0,-94.58,2.0,11.36,0.0,-75.51,2.0,12.56
62,LYV,3.0,1.0,10.59,,,0.0,-52.74,1.0,23.78,0.0,-29.9,1.0,14.55
63,LYV-Total,,3.0,,,,4.0,,7.0,,0.0,,7.0,
64,LUMN,1.0,0.0,-4.76,,,0.0,-0.48,0.0,-4.44,0.0,-0.98,0.0,-2.04
65,LUMN,2.0,2.0,13.51,,,0.0,-0.69,2.0,32.78,0.0,-1.1,2.0,33.09
66,LUMN,3.0,1.0,12.12,,,0.0,-16.34,1.0,1.06,0.0,-1.84,0.0,-2.51
67,LUMN-Total,,3.0,,,,0.0,,3.0,,0.0,,2.0,
68,FOXA,1.0,4.0,90.32,,,4.0,12.37,,,4.0,12.37,,
69,FOXA,2.0,0.0,-33.33,,,0.0,-29.71,,,0.0,-29.71,,
70,FOXA,3.0,1.0,830.0,,,0.0,-8.95,,,0.0,-8.95,,
71,FOXA-Total,,5.0,,,,4.0,,,,4.0,,,
72,IPG,1.0,4.0,130.43,,,4.0,4.93,4.0,5.22,4.0,63.61,4.0,8.27
73,IPG,2.0,2.0,109.09,,,0.0,-14.16,2.0,7.37,2.0,34.6,2.0,13.56
74,IPG,3.0,0.0,-87.5,,,0.0,-18.68,0.0,-0.09,0.0,-70.56,0.0,-1.75
75,IPG-Total,,6.0,,,,4.0,,6.0,,6.0,,6.0,
76,DISCK,1.0,,,,,4.0,0.79,4.0,5.6,0.0,-9.99,4.0,10.68
77,DISCK,2.0,,,,,0.0,-5.29,2.0,53.54,0.0,-1.93,2.0,56.94
78,DISCK,3.0,,,,,0.0,-6.65,1.0,5.79,0.0,-3.92,1.0,3.74
79,DISCK-Total,,,,,,4.0,,7.0,,0.0,,7.0,
80,DISH,1.0,4.0,10.26,,,4.0,42.19,0.0,-5.97,4.0,95.24,0.0,-7.87
81,DISH,2.0,2.0,500.0,,,0.0,-0.94,0.0,-5.35,2.0,13.04,2.0,2.03
82,DISH,3.0,0.0,-81.16,,,0.0,-0.72,0.0,-5.4,1.0,272.24,0.0,-12.1
83,DISH-Total,,6.0,,,,4.0,,0.0,,7.0,,2.0,
84,NWSA,1.0,0.0,-366.67,,,4.0,10.09,0.0,-10.58,4.0,10.09,0.0,-10.58
85,NWSA,2.0,0.0,-200.0,,,0.0,-15.14,2.0,11.64,0.0,-15.14,2.0,11.64
86,NWSA,3.0,0.0,-83.33,,,0.0,-8.59,1.0,10.87,0.0,-8.59,1.0,10.87
87,NWSA-Total,,0.0,,,,4.0,,3.0,,4.0,,3.0,
88,DISCA,1.0,4.0,5.19,,,4.0,0.79,4.0,5.6,0.0,-9.99,4.0,10.68
89,DISCA,2.0,0.0,-11.49,,,0.0,-5.29,2.0,53.54,0.0,-1.93,2.0,56.94
90,DISCA,3.0,0.0,-11.22,,,0.0,-6.65,1.0,5.79,0.0,-3.92,1.0,3.74
91,DISCA-Total,,4.0,,,,4.0,,7.0,,0.0,,7.0,
92,FOX,1.0,,,,,4.0,12.37,,,4.0,12.37,,
93,FOX,2.0,,,,,0.0,-29.71,,,0.0,-29.71,,
94,FOX,3.0,,,,,0.0,-8.95,,,0.0,-8.95,,
95,FOX-Total,,,,,,4.0,,,,4.0,,,
96,NWS,1.0,,,,,4.0,10.09,0.0,-10.58,4.0,10.09,0.0,-10.58
97,NWS,2.0,,,,,0.0,-15.14,2.0,11.64,0.0,-15.14,2.0,11.64
98,NWS,3.0,,,,,0.0,-8.59,1.0,10.87,0.0,-8.59,1.0,10.87
99,NWS-Total,,,,,,4.0,,3.0,,4.0,,3.0,
