,Stock,Fiscal Period,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %
41,LYB,2,0,-53.29,0,-20.23,0,-25.99,2,13.11,2,4.15,2,0.78
42,LYB,3,0,-20.42,1,610.65,0,-8.38,1,18.16,0,-44.85,1,7.23
43,LYB-Total,,4,,1,,4,,3,,6,,3,
44,VMC,1,0,-2.5,0,-23.76,0,-0.96,4,12.46,0,-4.04,4,14.07
45,VMC,2,2,240.43,2,20.26,2,26.05,2,12.66,2,96.57,2,10.81
46,VMC,3,0,-56.48,1,9.07,0,-11.54,1,8.28,0,-31.17,1,0.47
47,VMC-Total,,2,,3,,2,,7,,2,,7,
48,NUE,1,4,75,,,,,,,,,,
49,NUE,2,0,-63.64,,,,,,,,,,
50,NUE,3,1,90.38,,,,,,,,,,
51,NUE-Total,,5,,,,,,,,,,,
52,MLM,1,4,34.96,,,,,,,,,,
53,MLM,2,2,751.22,,,,,,,,,,
54,MLM,3,0,-80.38,,,,,,,,,,
55,MLM-Total,,6,,,,,,,,,,,
56,CE,1,4,50,,,4,18.27,0,-11.99,4,35.12,0,-18.56
57,CE,2,0,-43.23,,,0,-18.29,2,16.53,0,-30.46,2,30.51
58,CE,3,1,15.08,,,1,1.96,1,13.94,1,10.13,1,7.54
59,CE-Total,,5,,,,5,,3,,5,,3,
60,FMC,1,0,-29.07,,,0,-6.12,4,7.57,0,-10.77,4,10.84
61,FMC,2,0,-6.52,,,0,-7.58,2,69.3,0,-6.91,2,97.5
62,FMC,3,1,4.55,,,1,4.4,0,-0.3,1,0.99,1,2.21
63,FMC-Total,,1,,,,1,,6,,1,,7,
64,ALB,1,4,26.74,,,,,,,,,,
65,ALB,2,0,-14,,,,,,,,,,
66,ALB,3,0,-42.2,,,,,,,,,,
67,ALB-Total,,4,,,,,,,,,,,
68,EMN,1,4,84.71,,,,,,,,,,
69,EMN,2,0,-58.13,,,,,,,,,,
70,EMN,3,1,42.96,,,,,,,,,,
71,EMN-Total,,5,,,,,,,,,,,
72,IFF,1,4,2.94,,,,,,,,,,
73,IFF,2,0,-16.05,,,,,,,,,,
74,IFF,3,1,10.96,,,,,,,,,,
75,IFF-Total,,5,,,,,,,,,,,
76,MOS,1,4,109.09,,,4,16.47,0,-7.1,4,38.17,0,-40.12
77,MOS,2,0,-283.33,,,2,13.71,2,29.39,2,520.77,2,77.79
78,MOS,3,0,-79.31,,,0,-13.4,1,3.44,0,-48.7,1,4.05
79,MOS-Total,,4,,,,6,,3,,6,,3,
80,CF,1,0,-114.61,,,0,-29.65,4,3.64,0,-75.15,4,28.03
81,CF,2,2,187.1,,,2,24,2,7.24,2,63.73,2,111.29
82,CF,3,1,24,,,0,-7.44,1,12.08,0,-10.13,0,-48.52
83,CF-Total,,3,,,,2,,7,,2,,6,
